Series Name,"Country Name","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Population ages 00-04, female","Canada","1086588","1103597","1113205","1115545","1109924","1094782","1072314","1036838","992878","949036","914128","881320","859139","856338","860582","861744","876447","879990","875021","870057","872441","877489","883224","888479","893486","898557","904460","911950","918938","931343","941686","946746","955974","965597","970792","967295","965266","949177","922813","895822","874925","847390","833141","827993","829176","833668","845135","861244","880671","899648","914999","935845","944331","944271","942721","941712","931368","936371","953089"
"Population ages 00-04, male","Canada","1137336","1156676","1168264","1172194","1167501","1152449","1130036","1091930","1043492","995130","957550","923610","901427","900136","906043","907873","924993","928937","922851","916574","918667","923196","929170","935280","941260","946854","951934","958857","965319","977650","988064","992371","1002215","1013305","1019937","1017023","1014785","997135","968220","938905","916972","888196","874626","871558","875105","881221","894059","910602","929843","948500","963429","981446","988924","989004","987942","987216","977499","983074","1000412"
"Population ages 05-09, female","Canada","996613","1017857","1039155","1061917","1084853","1104401","1117016","1125846","1128549","1122931","1111223","1111351","1077650","1033261","986929","947987","916919","895559","884570","881343","881300","880391","880927","881097","882157","884134","889164","898036","907773","922909","935937","948084","956981","962645","966986","971054","976923","983406","988921","992572","992377","990024","978732","957359","932199","909530","891875","878140","870994","869850","872657","875245","886150","904968","928048","947255","962092","969358","971958"
"Population ages 05-09, male","Canada","1041083","1063722","1085878","1109107","1132524","1152873","1165931","1176360","1180981","1176606","1164690","1165255","1130324","1083986","1035407","994452","962918","941644","931308","929029","929748","927464","926963","926772","928274","931331","937051","946553","956887","972801","986331","998777","1007161","1011957","1015652","1019747","1025143","1031696","1037755","1042027","1041955","1038758","1026106","1003451","977655","955265","938469","926060","920760","921680","926351","928791","938284","954943","975776","993276","1007133","1014078","1016923"
"Population ages 10-14, female","Canada","869802","901749","928132","951794","975730","1001182","1029130","1056456","1080796","1099315","1113819","1147416","1155063","1158478","1156955","1145400","1123257","1088196","1043329","998275","963674","939416","923134","912188","904428","897202","895275","897180","899662","907698","914710","927132","939783","951659","962705","971688","981896","989809","994014","996985","1001648","1013231","1024923","1033889","1038775","1035467","1025206","1006112","983006","960137","940410","931935","922787","911877","901366","893499","906441","924299","946323"
"Population ages 10-14, male","Canada","908790","941151","968100","992556","1017837","1045365","1072015","1099464","1125272","1146186","1163572","1199636","1208642","1212868","1211589","1199630","1176921","1140776","1094307","1047841","1012865","988715","972094","959861","950169","941116","940265","943990","947703","956288","963235","977392","991749","1004432","1015443","1024129","1034186","1042267","1046253","1048582","1052637","1065892","1078758","1087137","1089976","1084236","1072962","1053606","1030757","1008293","989077","983632","976794","966859","955919","946466","956126","971725","992584"
"Population ages 15-19, female","Canada","677722","714202","754605","796686","836772","872344","911497","945532","973813","997343","1020361","1067790","1093214","1115247","1135410","1152851","1171101","1187228","1195807","1192938","1179811","1156723","1119942","1072331","1025346","986349","961581","949377","943493","944372","942187","942011","943950","947821","954375","962528","973361","985838","997478","1008042","1017804","1032219","1042669","1047692","1051964","1057095","1071021","1083177","1091597","1092176","1083175","1085457","1081795","1069108","1049786","1025384","1013235","1000581","990376"
"Population ages 15-19, male","Canada","701183","737078","776416","818586","860551","899373","939099","973076","1001859","1026745","1051781","1100988","1127702","1152281","1175954","1196643","1215656","1232252","1241866","1240805","1229879","1208839","1173078","1125908","1079321","1040549","1011170","996294","990294","993406","994028","991961","992712","997282","1006609","1018551","1029030","1041356","1053593","1065594","1077038","1088865","1098145","1104181","1111357","1119679","1133820","1144449","1150113","1147819","1136647","1137832","1135604","1125505","1109125","1087471","1072381","1056272","1042600"
"Population ages 20-24, female","Canada","592069","603872","619250","639886","666439","697812","740136","787513","835404","878572","916676","969537","1000071","1027134","1055164","1084481","1105226","1127732","1151451","1175470","1199971","1214751","1227663","1235017","1233788","1219705","1191905","1154369","1110141","1074969","1045973","1021316","1005123","995669","990501","986946","985545","987892","992643","1000176","1010606","1025789","1042666","1059196","1075994","1090497","1106962","1118954","1129840","1140955","1151193","1156378","1170379","1191334","1212008","1221441","1222510","1212664","1197910"
"Population ages 20-24, male","Canada","588823","601609","618377","639083","663908","693079","742481","795849","847061","890590","927407","986398","1020849","1048304","1073887","1100094","1121225","1145567","1171400","1196892","1222579","1242531","1261558","1275122","1279452","1269967","1241223","1201166","1153157","1114312","1082765","1057472","1040768","1030708","1025015","1021805","1022680","1028047","1035948","1046224","1059032","1073567","1089062","1103719","1119084","1133619","1152539","1169178","1185831","1202142","1215842","1211854","1218251","1235857","1258166","1272658","1277567","1269381","1254511"
